time,angle,error,voltage
1.8965418338775635,101,-11,-100
1.9022107124328613,102,-12,-100
1.9068713188171387,102,-12,-100
1.9142696857452393,101,-11,-100
1.9200360774993896,101,-11,-100
1.9245896339416504,100,-10,-100
1.931215524673462,99,-9,-100
1.9360663890838623,98,-8,-100
1.941474199295044,96,-6,-100
1.9464058876037598,95,-5,-100
1.952871322631836,93,-3,-100
1.9584426879882812,91,-1,-100
1.9631333351135254,89,1,100
1.968824863433838,87,3,100
1.9736294746398926,85,5,100
1.9806108474731445,83,7,100
1.9851973056793213,81,9,100
1.9910125732421875,81,9,100
1.9956908226013184,79,11,100
2.0013694763183594,79,11,100
2.0062739849090576,78,12,100
2.01210355758667,78,12,100
2.017652988433838,78,12,100
2.0229666233062744,79,11,100
2.029583692550659,79,11,100
2.0343682765960693,80,10,100
2.0403223037719727,81,9,100
2.0450196266174316,82,8,100
2.0507373809814453,84,6,100
2.055321455001831,86,4,100
2.0611157417297363,87,3,100
2.066030979156494,91,-1,-100
2.078735828399658,95,-5,-100
2.0846126079559326,96,-6,-100
2.0913143157958984,99,-9,-100
2.0982978343963623,100,-10,-100
2.103114604949951,101,-11,-100
2.108713150024414,102,-12,-100
2.1133828163146973,102,-12,-100
2.119997978210449,103,-13,-100
2.1245479583740234,103,-13,-100
2.1313488483428955,102,-12,-100
2.136286497116089,101,-11,-100
2.1417078971862793,101,-11,-100
2.146655797958374,100,-10,-100
2.1522698402404785,99,-9,-100
2.156902313232422,97,-7,-100
2.1625325679779053,96,-6,-100
2.1675844192504883,94,-4,-100
2.173034906387329,93,-3,-100
2.178560495376587,91,-1,-100
2.1844570636749268,88,2,100
2.1905486583709717,86,4,100
2.1951615810394287,83,7,100
2.2009966373443604,82,8,100
2.2056615352630615,80,10,100
2.211286783218384,79,11,100
2.216179132461548,78,12,100
2.2223002910614014,77,13,100
2.2270140647888184,77,13,100
2.23360538482666,76,14,100
2.239346981048584,76,14,100
2.2441680431365967,76,14,100
2.250098705291748,77,13,100
2.2546324729919434,77,13,100
2.260542869567871,78,12,100
2.2651526927948,79,11,100
2.2709686756134033,80,10,100
2.2756621837615967,82,8,100
2.2813358306884766,83,7,100
2.2870900630950928,85,5,100
2.2927684783935547,87,3,100
2.298368453979492,89,1,100
2.3031954765319824,91,-1,-100
2.308812141418457,94,-4,-100
2.3139727115631104,96,-6,-100
2.319530725479126,98,-8,-100
2.3248538970947266,99,-9,-100
2.3306210041046143,100,-10,-100
2.336332321166992,102,-12,-100
2.3419649600982666,102,-12,-100
2.346681594848633,103,-13,-100
2.352353572845459,103,-13,-100
2.3570122718811035,103,-13,-100
2.362640857696533,103,-13,-100
2.3682045936584473,103,-13,-100
2.3730666637420654,102,-12,-100
2.378664970397949,101,-11,-100
2.383326768875122,100,-10,-100
2.3901963233947754,98,-8,-100
2.3948111534118652,97,-7,-100
2.4006190299987793,95,-5,-100
2.4051878452301025,93,-3,-100
2.4109973907470703,92,-2,-100
2.4156126976013184,90,0,0
2.4212141036987305,88,2,100
2.4267117977142334,86,4,100
2.4325473308563232,83,7,100
2.439276933670044,81,9,100
2.444115161895752,80,10,100
2.4496243000030518,79,11,100
2.454390048980713,79,11,100
2.460186004638672,78,12,100
2.4648375511169434,77,13,100
2.4755630493164062,77,13,100
2.482585906982422,78,12,100
2.489506483078003,79,11,100
2.494309663772583,80,10,100
2.5002167224884033,81,9,100
2.504838705062866,82,8,100
2.5106217861175537,84,6,100
2.5151915550231934,85,5,100
2.5210187435150146,87,3,100
2.526386260986328,89,1,100
2.532038450241089,91,-1,-100
2.5382509231567383,94,-4,-100
2.543009042739868,95,-5,-100
2.5485289096832275,97,-7,-100
2.55336332321167,99,-9,-100
2.5593783855438232,101,-11,-100
2.564180374145508,101,-11,-100
2.5699164867401123,102,-12,-100
2.5744900703430176,102,-12,-100
2.5803346633911133,103,-13,-100
2.585008144378662,103,-13,-100
2.5914692878723145,102,-12,-100
2.596365213394165,102,-12,-100
2.6029911041259766,101,-11,-100
2.6086504459381104,100,-10,-100
2.61358642578125,99,-9,-100
2.61971116065979,97,-7,-100
2.632157564163208,93,-3,-100
2.6368205547332764,91,-1,-100
2.643275022506714,89,1,100
2.6493163108825684,87,3,100
2.654172420501709,85,5,100
2.6599488258361816,83,7,100
2.664543390274048,82,8,100
2.670549154281616,81,9,100
2.6751503944396973,80,10,100
2.6819894313812256,79,11,100
2.69026780128479,78,12,100
2.6949737071990967,78,12,100
2.700859785079956,78,12,100
2.7055699825286865,79,11,100
2.711219549179077,79,11,100
2.7161452770233154,80,10,100
2.7215771675109863,81,9,100
2.726573944091797,83,7,100
2.732379198074341,84,6,100
2.7384259700775146,86,4,100
2.7482805252075195,89,1,100
2.7530462741851807,91,-1,-100
2.758599042892456,93,-3,-100
2.763213634490967,96,-6,-100
2.7688536643981934,97,-7,-100
2.773643732070923,99,-9,-100
2.7793779373168945,100,-10,-100
2.7841742038726807,101,-11,-100
2.7900679111480713,102,-12,-100
2.7956020832061768,102,-12,-100
2.8021504878997803,102,-12,-100
2.8101072311401367,102,-12,-100
2.8146791458129883,102,-12,-100
2.820719003677368,101,-11,-100
2.8254125118255615,100,-10,-100
2.8310813903808594,99,-9,-100
2.836543321609497,97,-7,-100
2.842940330505371,96,-6,-100
2.8485145568847656,94,-4,-100
2.8533244132995605,92,-2,-100
2.858947277069092,90,0,0
2.86521053314209,87,3,100
2.8756401538848877,83,7,100
2.8829519748687744,82,8,100
2.888543128967285,80,10,100
2.8946313858032227,79,11,100
2.900714874267578,78,12,100
2.905287027359009,78,12,100
2.9113128185272217,77,13,100
2.916222095489502,77,13,100
2.9216578006744385,78,12,100
2.9266273975372314,78,12,100
2.932257652282715,79,11,100
2.938260555267334,80,10,100
2.944155693054199,81,9,100
2.950786590576172,82,8,100
2.9554972648620605,84,6,100
2.9611806869506836,85,5,100
2.966064214706421,87,3,100
2.9716086387634277,90,0,0
2.976588487625122,91,-1,-100
2.9821927547454834,93,-3,-100
2.986811399459839,95,-5,-100
2.9924631118774414,97,-7,-100
2.998837471008301,98,-8,-100
3.0035922527313232,99,-9,-100
3.0093305110931396,100,-10,-100
3.0141355991363525,101,-11,-100
3.0196726322174072,101,-11,-100
3.024472713470459,101,-11,-100
3.030546188354492,101,-11,-100
3.0351288318634033,100,-10,-100
3.0413200855255127,99,-9,-100
3.04704213142395,98,-8,-100
3.053051710128784,97,-7,-100
3.0586252212524414,96,-6,-100
3.063300132751465,94,-4,-100
3.0689218044281006,93,-3,-100
3.0739951133728027,91,-1,-100
3.0799336433410645,89,1,100
3.084561347961426,87,3,100
3.090672254562378,85,5,100
3.096384286880493,83,7,100
3.102066993713379,81,9,100
3.1068007946014404,81,9,100
3.1124942302703857,79,11,100
3.117551803588867,79,11,100
3.1228573322296143,78,12,100
3.1284408569335938,78,12,100
3.133150339126587,78,12,100
3.1388020515441895,79,11,100
3.144413948059082,79,11,100
3.154146909713745,81,9,100
3.159695625305176,82,8,100
3.1645119190216064,83,7,100
3.1703782081604004,85,5,100
3.17509126663208,86,4,100
3.1808712482452393,88,2,100
3.1855592727661133,91,-1,-100
3.191185235977173,92,-2,-100
3.1960818767547607,95,-5,-100
3.2025303840637207,97,-7,-100
3.2075600624084473,98,-8,-100
3.2130069732666016,99,-9,-100
3.218559503555298,100,-10,-100
3.2232024669647217,101,-11,-100
3.2288715839385986,101,-11,-100
3.2338976860046387,101,-11,-100
3.2393906116485596,101,-11,-100
3.2449467182159424,101,-11,-100
3.2514562606811523,101,-11,-100
3.2564053535461426,100,-10,-100
3.2620596885681152,99,-9,-100
3.2667267322540283,98,-8,-100
3.28021240234375,95,-5,-100
3.2848682403564453,93,-3,-100
3.2907674312591553,91,-1,-100
3.295330047607422,89,1,100
3.302328109741211,87,3,100
3.306990623474121,85,5,100
3.312683343887329,83,7,100
3.318277359008789,81,9,100
3.3230082988739014,81,9,100
3.32857346534729,79,11,100
3.3334014415740967,79,11,100
3.339533805847168,78,12,100
3.3448703289031982,78,12,100
3.351364850997925,78,12,100
3.3563249111175537,78,12,100
3.361968755722046,79,11,100
3.3666975498199463,79,11,100
3.3735806941986084,81,9,100
3.380413293838501,82,8,100
3.385122299194336,83,7,100
3.39107084274292,85,5,100
3.3960306644439697,87,3,100
3.4023451805114746,89,1,100
3.407015085220337,91,-1,-100
3.4126477241516113,93,-3,-100
3.422031879425049,96,-6,-100
3.426703453063965,97,-7,-100
3.4324748516082764,99,-9,-100
3.4371299743652344,100,-10,-100
3.442963123321533,101,-11,-100
3.4489293098449707,102,-12,-100
3.455057382583618,102,-12,-100
3.460736036300659,102,-12,-100
3.4652912616729736,101,-11,-100
3.4712390899658203,101,-11,-100
3.4761087894439697,101,-11,-100
3.4815189838409424,99,-9,-100
3.4865689277648926,99,-9,-100
3.492175579071045,97,-7,-100
3.496830463409424,95,-5,-100
3.503230333328247,94,-4,-100
3.508852005004883,92,-2,-100
3.514035940170288,90,0,0
3.519541025161743,88,2,100
3.5244200229644775,86,4,100
3.5302155017852783,85,5,100
3.5348589420318604,83,7,100
3.5406229496002197,82,8,100
3.5452542304992676,81,9,100
3.5514862537384033,80,10,100
3.557096004486084,79,11,100
3.5627617835998535,79,11,100
3.5683436393737793,79,11,100
3.5731773376464844,80,10,100
3.578845500946045,81,9,100
3.585948944091797,81,9,100
3.593233108520508,83,7,100
3.601374626159668,85,5,100
3.610100269317627,88,2,100
3.6167569160461426,90,0,0
3.6240415573120117,93,-3,-100
3.631944179534912,96,-6,-100
3.6395275592803955,98,-8,-100
3.6461055278778076,100,-10,-100
3.655536651611328,101,-11,-100
3.6630375385284424,102,-12,-100
3.6709492206573486,102,-12,-100
3.6887388229370117,100,-10,-100
3.6944639682769775,99,-9,-100
3.700404644012451,98,-8,-100
3.706202268600464,97,-7,-100
3.7117137908935547,95,-5,-100
3.7166502475738525,93,-3,-100
3.722261905670166,91,-1,-100
3.726896047592163,89,1,100
3.732713222503662,87,3,100
3.738337993621826,85,5,100
3.7432923316955566,83,7,100
3.749325752258301,82,8,100
3.754168748855591,81,9,100
3.76122784614563,80,10,100
3.7661519050598145,79,11,100
3.7715587615966797,79,11,100
3.7765517234802246,78,12,100
3.7822275161743164,78,12,100
3.7869465351104736,79,11,100
3.7925963401794434,79,11,100
3.798208475112915,80,10,100
3.8029823303222656,81,9,100
3.809988260269165,83,7,100
3.8155155181884766,84,6,100
3.821202516555786,85,5,100
3.826098918914795,87,3,100
3.8315184116363525,89,1,100
3.836530923843384,91,-1,-100
3.842155694961548,93,-3,-100
3.8468239307403564,95,-5,-100
